Thibaut Courtois
Andriy Lunin
Fran González
Dean Huijsen
Ibrahima Konaté
Éder Militão
Raúl Asencio
Antonio Rüdiger
Marc Cucurella
Álvaro Carreras
Ferland Mendy
Trent Alexander-Arnold
Denzel Dumfries
David Jiménez
Aurélien Tchouaméni
Federico Valverde
Eduardo Camavinga
Thiago Pinar
Manuel Ángel
Jude Bellingham
Arda Güler
Bernardo Silva
César Palacios
Vinicius Júnior
Rodrygo
Franco Mastantuono
Brahim Díaz
Kylian Mbappé
Endrick
Gonzalo García
Joan García
Marc-André ter Stegen
Áron Yaakobishvili
Wojciech Szczęsny
Pau Cubarsí
Eric García
Gerard Martín
Ronald Araújo
Andreas Christensen
Alvaro Cortes
Alejandro Balde
Jules Koundé
Héctor Fort
Xavi Espart
Marc Bernal
Marc Casado
Tomas Marques
Pedri
Frenkie de Jong
Gavi
Fermin López
Dani Olmo
Toni Fernández
Raphinha
Anthony Gordon
Lamine Yamal
Roony Bardghji
Ferrán Torres
Jan Oblak
Juan Musso
Dávid Hancko
Marc Pubill
Robin Le Normand
José María Giménez
Matteo Ruggeri
Alejandro Grimaldo
Marcos Llorente
Nahuel Molina
Morten Hjulmand
Pablo Barrios
Rodrigo Mendoza
Johnny Cardoso
Obed Vargas
Koke
Thomas Lemar
Álex Baena
Ademola Lookman
Thiago Almada
Carlos Martín
Giuliano Simeone
Julián Álvarez
Alexander Sørloth
Luiz Lúcio Reis Júnior
Arnau Tenas
Diego Conde
Renato Veiga
Logan Costa
Pau Navarro
Juan Foyth
Willy Kambwala
Carlos Romero
Sergi Cardona
Santiago Mouriño
Alex Freeman
Pape Gueye
Santi Comesaña
Carlos Macià
Daniel Requena
Alberto Moleiro
Thiago Fernández
Ilias Akhomach
Tajon Buchanan
Nicolas Pépé
Georges Mikautadze
Tani Oluwaseyi
Ayoze Pérez
Gerard Moreno
Hugo López
Álex Forés
Álex Remiro
Unai Marrero
Jon Martin
Igor Zubeldia
Jon Pacheco
Kazunari Kita
Sergio Gómez
Javi López
Aihen Muñoz
Jon Aramburu
Álvaro Odriozola
Iñaki Rupérez
Jon Gorrotxategi
Beñat Turrientes
Luka Sučić
Carlos Soler
Yangel Herrera
Arsen Zakharyan
Pablo Marín
Mikel Goti
Ander Barrenetxea
Gonçalo Guedes
Takefusa Kubo
Mikel Oyarzabal
Orri Steinn Óskarsson
Jon Karrikaburu
Carlos Fernández
Unai Simón
Julen Agirrezabala
Alex Padilla
Daniel Vivian
Aymeric Laporte
Aitor Paredes
Yeray Álvarez
Unai Egiluz
Adama Boiro
Yuri Berchiche
Jesús Areso
Hugo Rincón
Andoni Gorosabel
Mikel Vesga
Mikel Jauregizar
Beñat Prados
Alejandro Rego
Selton Sánchez
Iñigo Ruiz de Galarreta
Unai Vencedor Paris
Beñat Gerenabarrena
Oihan Sancet
Peio Canales
Nico Williams
Álvaro djaló
Álex Berenguer
Nicolás Serrano
Iñaki Williams
Roberto Navarro
Gorka Guruzeta
Maroan Sannadi
Álvaro Vallés
Pau López
Natan
Valentín Gómez
Diego Llorente
Marc Bartra
Fran
Junior Firpo
Ángel Ortíz
Héctor Bellerín
Facundo Bernal
Marc Roca
Nelson Deossa
Pablo Fornals
Álvaro Fidalgo
Giovani Lo Celso
Isco
Abde Ezzalzouli
Rodrigo Riquelme
Antony
Pablo Garcia
Aitor Ruibal
Iker Losada
Cucho
Gonzalo Petit
Ionuț Radu
Iván Villar
Javi Rodríguez
Carl Starfelt
Yoel Lago
Unai Núñez
Carlos Dominguez
Manu Fernández
Marcos Alonso
Manu Sánchez
Javi Galán
Sergio Carreira
Javi Rueda
Álvaro Núñez
Damián Rodríguez
Ilaix Moriba
Miguel Román
Aleix Febas
Hugo Sotelo
Carlos Dotor
Matías Vecino
Williot Swedberg
Hugo Álvarez
Ferran Jutglà
Jones El-Abdellaoui
Carles Pérez
Pablo Durán
Borja Iglesias
Iago Aspas
Odysseas Vlachodimos
Kike Salas
Arouna Sangante
Castrin
Marcão
Fábio Cardoso
Tanguy Nianzou
Federico Gattoni
Joaquín Martínez Gauna
Gabriel Suazo
Adrià Pedrosa
Carmona
Juanlu Sánchez
Iglesias
Lucien Agoume
Djibril Sow
Jon Guridi
Manu Bueno
Joan Jordán
Patrik Mercado
Ruben Vargas
Chidera Ejuke
Alfon
Peque
Akor Adams
Isaac Romero
Rafa Mir
Stole Dimitrievski
Cristian
César Tárrega
Justin Kluivert
Copete
Cenk Özkacar
Mouctar Diakhaby
Iker Córdoba
José Luis Gayà
Jesús Vázquez
Dimitri Foulquier
José Luis García Vayá
Guido Rodríguez
Aliou Dieng
Javier Guerra
Filip Ugrinic
André Almeida
Arnaut Danjuma
Ryunosuke Sato
Sergi Canós
Diego López
Luis Rioja
Dani Raba
Hugo Duro
Umar Sadiq
Alberto Marí
Marko Dmitrović
Fortuño
Pol Tristán
Clemens Riedel
Miguel Ángel Rubio
Pablo Ramón
Leandro Cabrera
Quilindschy Hartman
José Salinas
Roger Hinojo
Omar El Hilali
Rubén
Urko González
Gabriel Moscardo
Pol Lozano
Edu Expósito
José Gragera
Rafael Bauza
Álex Calatrava
Javi Hernández
Javi Puado
Pere Milla
Tyrhys Dolan
Jofre
Antoniu
Roberto Férnandez
Marcos Fernández
Kike García
Pablo Cuñat
Dani Martín
Adrián de la Fuente
Jorge Cabello
Unai Elgezabal
Jeremy Toljan
Xavi Grande
Nacho Pérez
Kervin Arriaga
Oriol Rey
Enzo Bardeli
Olasagasti
Edgar Alcañiz
Carlos Álvarez
Brugui
Paco Cortés
Kareem Tunde
Víctor García
Tay Abed
Carlos Espí
Karl Etta Eyong
Iván Romero
Augusto Batalla
Dani Cárdenas
Nobel Mendy
Jozhua Vertrouwd
Luiz Felipe
Florian Lejeune
Pelayo Fernandez
Pep Chavarría
Andrei Ratiu
Iván Balliu
Pedro Díaz
Unai López
Óscar Valentín
Pathé Ciss
Samu Becerra
Randy Nteka
Álvaro García
Jorge de Frutos
Francisco Pérez
Isaac Palazón Camacho
Alexandre Alemão
Sergio Camello
Raúl de Tomás
Etienne Eto'o
Leo Román
Álvaro Ferllo
Germán Parreño
Eric Puerto
Lucas Noubi
Barcia
Bright Ede
Arnau Comas
Giacomo Quagliata
Adrià Altimira
Miguel Loureiro
Ximo Navarro
Lorenzo Amatucci
Riki Rodríguez
Diego Villares
Noé Carrillo
Teun Gijselhart
Charlie Patiño
José Ángel Jurado
Mario Soriano
Jonathan Asp Jensen
Jairo Noriega
Yeremay Hernández
Rubén López
David Mella
Luismi Cruz
Diego Gómez
Bil Nsongo
Zakaria Eddahchouri
Mohamed Bouldini
Kevin Sánchez
Sergio Herrera
Aitor Fernández
Enzo Boyomo
Jorge Herrando
Catena
Abel Bretones
Valentin Rosier
Iñigo Arguibide
Lucas Torró
Iker Muñoz
Jon Moncayola
Asier Osambela
Aimar Oroz
Moi Gómez
Raúl Moro
Rubén García
Kike Barja
Iker Benito
Raúl García
Ante Budimir
David Soria
Jiri Letacek
Abdel Abqar
Zaid Romero
Juan Berrocal
Sebastián Boselli
Djené
Jean Ives Valou
Davinchi
Kiko Femenía
Ismael Bekhoucha
Mario Martín
Yvan Neyou
Ramón Terrats
Javier Muñoz
Coba da Costa
Juanmi
Álex Sancris
Christantus Uche
Martin Satriano
Borja Mayoral
Antonio Sivera
Jesús Owono
Adrian Rodríguez
Moussa Diarra
Ville Koski
Nikola Maraš
Facundo Garcés
Youssef Lekhedim
Nahuel Tenaglia
Jonny Castro
Hugo Novoa
Antonio Blanco
Carlos Protesoni
Tomás Mendes
Pablo Ibáñez
Carles Aleñá
Ander Guevara
Selu Diallo
Denis Suárez
Abde Rebbach
Ángel Pérez
Toni Martínez
Lucas Boyé
Aitor Mañas
Mariano
Alejandro Iturbe
Matías Dituro
David Affengruber
Víctor Chust
Matia Barzic
John Donald
Bambo Diaby
Pedro Bigas
Buba Sangaré
Marc Aguado
Federico Redondo
Martim Neto
Gonzalo Villar
Germán Valera
Lucas Cepeda
Tete Morente
Yago Santiago
Rafa Núñez
Grady Diangana
Adam Boayar
Ali Houary
Abiel Osorio
Simon Eriksson
Facundo González
Manu Hernando
Jorge Salinas
Álvaro Mantilla
Maguette Gueye
Gustavo Puerta
Sergio Martínez
Íñigo Sainz-Maza
Sergio Canales
Iñigo Vicente
Andrés Martín
Suleiman Camara
Yeray Cabanzón
Giorgi Guliashvili
Asier Villalibre
Juan Carlos Arana
Alfonso Herrero
Carlos López
Fernando Calero
Diego Murillo
Einar Galilea
Álex Pastor
Ángel Recio
Moussa Diarra
Dani Sánchez
Rafita Garrido
Carlos Puga
Izan Merino
Juanpe Jiménez
Ramón Enríquez
Pablo Arriaza
Dani Lorenzo
Rafa Rodríguez
Aarón Ochoa
Joaquín Muñoz
Julen Lobete
David Larrubia
Haitam Abaida
Chupe
Adrian Niño
Eneko Jauregi
