Jugador,Temporada,Equipo,Pos,Edad,Partidos,Minutos,Goles,Asistencias,G+A,Penales,Amarillas,2a Amarillas,Rojas,Tiros,Tiros a puerta,Faltas hechas,Faltas recibidas,Intercepciones,Entradas ganadas,Goles recibidos,Tiros a puerta recibidos,Victorias,Empates,Derrotas,Partidos sin goles,Tiros a puerta parados (%),Penaltis parados (%)
Aarón Ochoa,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Aarón Ochoa,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Aarón Ochoa,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Aarón Ochoa,24/25,Málaga,"MF,FW",17.0,26.0,1012.0,0.0,0.0,0.0,,2.0,0.0,0.0,13.0,5.0,15.0,28.0,4.0,11.0,,,,,,,,
Aarón Ochoa,25/26,Málaga,"MF,FW",18.0,24.0,730.0,2.0,3.0,5.0,,6.0,0.0,0.0,17.0,8.0,13.0,11.0,3.0,10.0,,,,,,,,
Abde Ezzalzouli,21/22,Barcelona,FW,19.0,10.0,580.0,1.0,0.0,1.0,,4.0,0.0,0.0,16.0,4.0,17.0,15.0,9.0,9.0,,,,,,,,
Abde Ezzalzouli,22/23,Osasuna,"FW,MF",20.0,28.0,1504.0,4.0,2.0,6.0,,4.0,1.0,2.0,40.0,16.0,27.0,34.0,4.0,21.0,,,,,,,,
Abde Ezzalzouli,23/24,Real Betis,MF,21.0,26.0,865.0,1.0,0.0,1.0,,1.0,0.0,0.0,34.0,9.0,9.0,16.0,5.0,14.0,,,,,,,,
Abde Ezzalzouli,23/24,Barcelona,"FW,MF",21.0,2.0,68.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,,,,,,,,
Abde Ezzalzouli,24/25,Real Betis,MF,22.0,32.0,1984.0,2.0,2.0,4.0,,2.0,0.0,0.0,62.0,26.0,23.0,38.0,9.0,23.0,,,,,,,,
Abde Ezzalzouli,25/26,Real Betis,"MF,FW",23.0,29.0,2247.0,10.0,8.0,18.0,,3.0,0.0,0.0,73.0,26.0,28.0,71.0,15.0,32.0,,,,,,,,
Abde Rebbach,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Abde Rebbach,22/23,Alavés,"MF,FW",23.0,19.0,860.0,2.0,1.0,3.0,,2.0,0.0,0.0,27.0,12.0,19.0,17.0,5.0,6.0,,,,,,,,
Abde Rebbach,23/24,Alavés,MF,24.0,23.0,722.0,1.0,0.0,1.0,,1.0,0.0,0.0,17.0,4.0,13.0,10.0,4.0,5.0,,,,,,,,
Abde Rebbach,24/25,Alavés,"MF,FW",25.0,8.0,385.0,0.0,0.0,0.0,,1.0,0.0,0.0,6.0,1.0,5.0,6.0,0.0,1.0,,,,,,,,
Abde Rebbach,25/26,Alavés,"MF,DF",26.0,30.0,1496.0,1.0,4.0,5.0,,8.0,0.0,0.0,34.0,12.0,40.0,30.0,16.0,21.0,,,,,,,,
Abdel Abqar,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdel Abqar,22/23,Alavés,DF,23.0,35.0,2851.0,1.0,0.0,1.0,,10.0,0.0,1.0,13.0,4.0,37.0,17.0,41.0,27.0,,,,,,,,
Abdel Abqar,23/24,Alavés,DF,24.0,27.0,2312.0,0.0,0.0,0.0,,10.0,0.0,0.0,10.0,3.0,32.0,23.0,25.0,21.0,,,,,,,,
Abdel Abqar,24/25,Alavés,DF,25.0,29.0,2463.0,0.0,1.0,1.0,,13.0,0.0,0.0,12.0,1.0,47.0,32.0,36.0,22.0,,,,,,,,
Abdel Abqar,25/26,Getafe,DF,26.0,23.0,1437.0,0.0,2.0,2.0,,10.0,0.0,1.0,7.0,1.0,30.0,36.0,20.0,17.0,,,,,,,,
Abel Bretones,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Abel Bretones,22/23,Oviedo,"DF,MF",21.0,39.0,2878.0,0.0,2.0,2.0,,7.0,0.0,0.0,28.0,8.0,36.0,35.0,22.0,61.0,,,,,,,,
Abel Bretones,23/24,Oviedo,DF,22.0,39.0,3246.0,1.0,3.0,4.0,,9.0,0.0,0.0,26.0,4.0,35.0,50.0,36.0,62.0,,,,,,,,
Abel Bretones,24/25,Osasuna,"DF,MF",23.0,35.0,2074.0,2.0,0.0,2.0,,3.0,0.0,0.0,12.0,4.0,25.0,32.0,19.0,37.0,,,,,,,,
Abel Bretones,25/26,Osasuna,"MF,DF",24.0,28.0,1624.0,1.0,2.0,3.0,,5.0,0.0,1.0,11.0,3.0,16.0,19.0,16.0,12.0,,,,,,,,
Abiel Osorio,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Abiel Osorio,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Abiel Osorio,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Abiel Osorio,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,
Abiel Osorio,25/26,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Boayar,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Boayar,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Boayar,23/24,Elche,FW,17.0,8.0,229.0,1.0,0.0,1.0,,1.0,0.0,0.0,7.0,3.0,7.0,8.0,1.0,4.0,,,,,,,,
Adam Boayar,24/25,Elche,FW,18.0,3.0,87.0,1.0,0.0,1.0,,1.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,
Adam Boayar,25/26,Elche,MF,19.0,7.0,104.0,1.0,0.0,1.0,,0.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,2.0,,,,,,,,
Adama Boiro,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Adama Boiro,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Adama Boiro,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
Adama Boiro,24/25,Athletic Club,DF,22.0,18.0,1101.0,0.0,0.0,0.0,,3.0,0.0,0.0,5.0,0.0,13.0,8.0,11.0,11.0,,,,,,,,
Adama Boiro,25/26,Athletic Club,DF,23.0,14.0,815.0,0.0,0.0,0.0,,1.0,0.0,0.0,2.0,0.0,6.0,11.0,18.0,11.0,,,,,,,,
Ademola Lookman,21/22,,,,,,,,,,,,,,,,,,,,,,,,,,
Ademola Lookman,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
Ademola Lookman,23/24,,,,,,,,,,,,,,,,,,,,,,,,,,
