Jugador,Temporada,Equipo,Pos,Edad,Partidos,Minutos,Goles,Asistencias,G+A,Penales,Amarillas,2a Amarillas,Rojas,Tiros,Tiros a puerta,Faltas hechas,Faltas recibidas,Intercepciones,Entradas ganadas,Goles recibidos,Tiros a puerta recibidos,Victorias,Empates,Derrotas,Partidos sin goles,Tiros a puerta parados (%),Penaltis parados (%)
Thibaut Courtois,21/22,Real Madrid,GK,29.0,36.0,3240.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,29.0,120.0,26.0,7.0,3.0,16.0,75.8,33.3
Thibaut Courtois,22/23,Real Madrid,GK,30.0,31.0,2790.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,29.0,118.0,20.0,5.0,6.0,10.0,75.4,20.0
Thibaut Courtois,23/24,Real Madrid,GK,31.0,4.0,332.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,3.0,1.0,0.0,0.0,100.0,
Thibaut Courtois,24/25,Real Madrid,GK,32.0,30.0,2700.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,29.0,106.0,20.0,6.0,4.0,11.0,72.6,0.0
Thibaut Courtois,25/26,Real Madrid,GK,33.0,32.0,2880.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,28.0,98.0,24.0,3.0,5.0,13.0,71.4,0.0
Andriy Lunin,21/22,Real Madrid,GK,22.0,2.0,180.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,1.0,0.0,75.0,50.0
Andriy Lunin,22/23,Real Madrid,GK,23.0,7.0,630.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,4.0,1.0,2.0,3.0,63.2,
Andriy Lunin,23/24,Real Madrid,GK,24.0,21.0,1890.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,17.0,65.0,16.0,5.0,0.0,4.0,73.8,0.0
Andriy Lunin,24/25,Real Madrid,GK,25.0,7.0,630.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,20.0,6.0,0.0,1.0,4.0,65.0,
Andriy Lunin,25/26,Real Madrid,GK,26.0,6.0,540.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,3.0,2.0,1.0,1.0,69.6,
Fran González,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Huijsen,25/26,Real Madrid,DF,20.0,28.0,2034.0,2.0,2.0,4.0,,7.0,0.0,1.0,20.0,5.0,21.0,13.0,18.0,18.0,,,,,,,,
Ibrahima Konaté,,,,,,,,,,,,,,,,,,,,,,,,,,,
Éder Militão,21/22,Real Madrid,DF,23.0,34.0,3031.0,1.0,2.0,3.0,,5.0,0.0,0.0,33.0,8.0,37.0,39.0,53.0,32.0,,,,,,,,
Éder Militão,22/23,Real Madrid,DF,24.0,33.0,2703.0,5.0,0.0,5.0,,4.0,0.0,0.0,22.0,9.0,35.0,38.0,41.0,30.0,,,,,,,,
Éder Militão,23/24,Real Madrid,DF,25.0,10.0,496.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,5.0,5.0,5.0,3.0,,,,,,,,
Éder Militão,24/25,Real Madrid,DF,26.0,12.0,938.0,1.0,1.0,2.0,,2.0,0.0,0.0,10.0,3.0,18.0,8.0,11.0,17.0,,,,,,,,
Éder Militão,25/26,Real Madrid,DF,27.0,16.0,1139.0,2.0,1.0,3.0,,2.0,0.0,0.0,21.0,9.0,15.0,13.0,10.0,16.0,,,,,,,,
Raúl Asencio,24/25,Real Madrid,DF,21.0,23.0,1670.0,0.0,1.0,1.0,,3.0,0.0,0.0,3.0,1.0,12.0,19.0,16.0,17.0,,,,,,,,
Raúl Asencio,25/26,Real Madrid,DF,22.0,23.0,1708.0,2.0,0.0,2.0,,4.0,0.0,0.0,14.0,4.0,17.0,23.0,10.0,12.0,,,,,,,,
Antonio Rüdiger,22/23,Real Madrid,DF,29.0,33.0,2415.0,1.0,0.0,1.0,,1.0,0.0,0.0,22.0,4.0,12.0,7.0,19.0,18.0,,,,,,,,
Antonio Rüdiger,23/24,Real Madrid,DF,30.0,33.0,2709.0,1.0,0.0,1.0,,7.0,0.0,0.0,19.0,2.0,26.0,5.0,12.0,17.0,,,,,,,,
Antonio Rüdiger,24/25,Real Madrid,DF,31.0,29.0,2291.0,0.0,0.0,0.0,,3.0,0.0,0.0,24.0,4.0,15.0,15.0,9.0,13.0,,,,,,,,
Antonio Rüdiger,25/26,Real Madrid,DF,32.0,18.0,1490.0,1.0,0.0,1.0,,0.0,0.0,0.0,13.0,1.0,11.0,2.0,4.0,5.0,,,,,,,,
Marc Cucurella,21/22,Getafe,"DF,MF",23.0,1.0,23.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,
Álvaro Carreras,23/24,Granada,"MF,FW",20.0,13.0,475.0,0.0,0.0,0.0,,1.0,0.0,0.0,7.0,1.0,6.0,11.0,8.0,7.0,,,,,,,,
Álvaro Carreras,25/26,Real Madrid,DF,22.0,28.0,2332.0,2.0,3.0,5.0,,5.0,0.0,1.0,9.0,3.0,22.0,33.0,38.0,18.0,,,,,,,,
Ferland Mendy,21/22,Real Madrid,DF,26.0,22.0,1734.0,2.0,1.0,3.0,,4.0,0.0,0.0,12.0,5.0,15.0,24.0,16.0,15.0,,,,,,,,
Ferland Mendy,22/23,Real Madrid,DF,27.0,18.0,1351.0,0.0,1.0,1.0,,2.0,0.0,0.0,1.0,0.0,4.0,18.0,13.0,11.0,,,,,,,,
Ferland Mendy,23/24,Real Madrid,DF,28.0,23.0,1720.0,0.0,0.0,0.0,,5.0,0.0,0.0,5.0,2.0,17.0,14.0,12.0,10.0,,,,,,,,
Ferland Mendy,24/25,Real Madrid,DF,29.0,14.0,1005.0,0.0,1.0,1.0,,1.0,0.0,1.0,0.0,0.0,5.0,7.0,9.0,14.0,,,,,,,,
Ferland Mendy,25/26,Real Madrid,DF,30.0,5.0,207.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,,,,,,,,
Trent Alexander-Arnold,25/26,Real Madrid,DF,26.0,21.0,1163.0,0.0,4.0,4.0,,4.0,0.0,0.0,10.0,2.0,10.0,5.0,13.0,10.0,,,,,,,,
Denzel Dumfries,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Jiménez,25/26,Real Madrid,DF,21.0,2.0,76.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,
Aurélien Tchouaméni,22/23,Real Madrid,MF,22.0,33.0,2119.0,0.0,4.0,4.0,,2.0,0.0,0.0,38.0,6.0,35.0,35.0,50.0,38.0,,,,,,,,
Aurélien Tchouaméni,23/24,Real Madrid,"MF,DF",23.0,27.0,1987.0,3.0,1.0,4.0,,7.0,0.0,0.0,27.0,7.0,20.0,22.0,29.0,25.0,,,,,,,,
Aurélien Tchouaméni,24/25,Real Madrid,"DF,MF",24.0,32.0,2689.0,0.0,0.0,0.0,,5.0,0.0,0.0,19.0,3.0,26.0,24.0,45.0,24.0,,,,,,,,
Aurélien Tchouaméni,25/26,Real Madrid,MF,25.0,33.0,2615.0,1.0,0.0,1.0,,8.0,0.0,0.0,45.0,7.0,31.0,27.0,45.0,41.0,,,,,,,,
Federico Valverde,21/22,Real Madrid,MF,23.0,31.0,1833.0,0.0,1.0,1.0,,2.0,0.0,0.0,34.0,9.0,17.0,9.0,22.0,17.0,,,,,,,,
Federico Valverde,22/23,Real Madrid,"MF,FW",24.0,34.0,2502.0,7.0,4.0,11.0,,2.0,0.0,0.0,63.0,21.0,11.0,15.0,16.0,20.0,,,,,,,,
Federico Valverde,23/24,Real Madrid,MF,25.0,37.0,2904.0,2.0,7.0,9.0,,2.0,0.0,0.0,56.0,19.0,19.0,15.0,43.0,35.0,,,,,,,,
Federico Valverde,24/25,Real Madrid,"MF,DF",26.0,36.0,3032.0,6.0,4.0,10.0,,4.0,0.0,0.0,57.0,22.0,12.0,15.0,54.0,33.0,,,,,,,,
Federico Valverde,25/26,Real Madrid,"MF,DF",27.0,33.0,2740.0,5.0,8.0,13.0,,3.0,0.0,1.0,51.0,22.0,18.0,14.0,25.0,25.0,,,,,,,,
Eduardo Camavinga,21/22,Real Madrid,MF,18.0,26.0,1236.0,2.0,1.0,3.0,,8.0,0.0,0.0,12.0,5.0,34.0,29.0,17.0,35.0,,,,,,,,
Eduardo Camavinga,22/23,Real Madrid,"MF,DF",19.0,37.0,2010.0,0.0,1.0,1.0,,6.0,0.0,0.0,18.0,3.0,39.0,69.0,19.0,49.0,,,,,,,,
Eduardo Camavinga,23/24,Real Madrid,MF,20.0,31.0,1817.0,0.0,2.0,2.0,,9.0,0.0,0.0,17.0,7.0,49.0,68.0,26.0,48.0,,,,,,,,
Eduardo Camavinga,24/25,Real Madrid,"MF,DF",21.0,19.0,1102.0,1.0,2.0,3.0,,2.0,0.0,0.0,8.0,2.0,21.0,31.0,19.0,26.0,,,,,,,,
