Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Luis Abram,pe PER,DF,Granada,25,1996,6.2,0,2,1,50.0,0.32,0.16,0.00,0.00,0,0,Matches
2,Marcos Acuña,ar ARG,"DF,MF",Sevilla,29,1991,25.1,1,16,5,31.3,0.64,0.20,0.06,0.20,0,0,Matches
3,Martin Agirregabiria,es ESP,"DF,MF",Alavés,25,1996,18.0,0,4,0,0.0,0.22,0.00,0.00,,0,0,Matches
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4.0,0,0,0,,0.00,0.00,,,0,0,Matches
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,1.7,1,6,1,16.7,3.58,0.60,0.17,1.00,0,0,Matches
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,29.3,0,6,1,16.7,0.20,0.03,0.00,0.00,0,0,Matches
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,20.5,0,10,1,10.0,0.49,0.05,0.00,0.00,0,0,Matches
9,Ilias Akhomach,ma MAR,FW,Barcelona,17,2004,1.4,0,4,2,50.0,2.90,1.45,0.00,0.00,0,0,Matches
10,Paul Akouokou,ci CIV,MF,Real Betis,23,1997,5.7,0,2,0,0.0,0.35,0.00,0.00,,0,0,Matches
11,Amankwaa Akurugu,gh GHA,MF,Getafe,19,2001,0.9,0,1,0,0.0,1.14,0.00,0.00,,0,0,Matches
12,David Alaba,at AUT,DF,Real Madrid,29,1992,29.4,2,21,7,33.3,0.72,0.24,0.10,0.29,0,0,Matches
13,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,15.8,0,15,2,13.3,0.95,0.13,0.00,0.00,0,0,Matches
14,Jordi Alba,es ESP,DF,Barcelona,32,1989,29.4,2,31,6,19.4,1.06,0.20,0.06,0.33,0,0,Matches
15,Raúl Albiol,es ESP,DF,Villarreal,35,1985,27.4,0,5,1,20.0,0.18,0.04,0.00,0.00,0,0,Matches
16,Paco Alcácer,es ESP,FW,Villarreal,27,1993,8.7,1,18,6,33.3,2.06,0.69,0.06,0.17,0,0,Matches
17,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,12.3,2,23,6,26.1,1.87,0.49,0.09,0.33,0,0,Matches
18,Omar Alderete,py PAR,DF,Valencia,24,1996,26.7,2,17,5,29.4,0.64,0.19,0.12,0.40,0,0,Matches
19,Iván Alejo,es ESP,MF,Cádiz,26,1995,11.8,2,12,4,33.3,1.01,0.34,0.17,0.50,0,0,Matches
20,Carles Aleñá,es ESP,MF,Getafe,23,1998,25.8,1,46,14,30.4,1.78,0.54,0.02,0.07,0,0,Matches
21,Hugo Álvarez,es ESP,"DF,MF",Celta Vigo,18,2003,0.1,0,1,0,0.0,8.18,0.00,0.00,,0,0,Matches
22,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,20.7,0,7,0,0.0,0.34,0.00,0.00,,0,0,Matches
23,Dani Alves,br BRA,DF,Barcelona,38,1983,12.2,1,5,2,40.0,0.41,0.16,0.20,0.50,0,0,Matches
24,Amath,sn SEN,"MF,FW",Mallorca,25,1996,9.8,0,10,3,30.0,1.02,0.31,0.00,0.00,0,0,Matches
25,Florin Andone,ro ROU,FW,Cádiz,28,1993,2.0,0,3,1,33.3,1.53,0.51,0.00,0.00,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Marcos André,br BRA,"FW,MF",Valencia,24,1996,10.8,1,30,8,26.7,2.77,0.74,0.03,0.13,0,0,Matches
