Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 20_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Luis Abram,pe PER,DF,Granada,25,1996,6.2,2,0,0,5,4,0,0,5,3,,,1,Matches
2,Marcos Acuña,ar ARG,"DF,MF",Sevilla,29,1991,25.1,10,0,0,38,48,0,178,16,31,,,0,Matches
3,Martin Agirregabiria,es ESP,"DF,MF",Alavés,25,1996,18.0,4,0,0,24,22,1,44,24,22,,,0,Matches
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4.0,0,0,0,0,0,0,0,0,0,,,0,Matches
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,1.7,0,0,0,1,2,1,3,0,1,,,0,Matches
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,29.3,1,0,0,10,18,1,3,38,26,,,1,Matches
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,20.5,4,0,0,23,25,2,46,54,30,,,0,Matches
9,Ilias Akhomach,ma MAR,FW,Barcelona,17,2004,1.4,0,0,0,3,4,0,6,0,1,,,0,Matches
10,Paul Akouokou,ci CIV,MF,Real Betis,23,1997,5.7,2,1,0,13,2,0,1,12,7,,,0,Matches
11,Amankwaa Akurugu,gh GHA,MF,Getafe,19,2001,0.9,0,0,0,1,1,0,4,1,0,,,0,Matches
12,David Alaba,at AUT,DF,Real Madrid,29,1992,29.4,2,0,0,17,6,2,41,24,13,,,0,Matches
13,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,15.8,5,0,0,19,9,1,64,31,18,,,0,Matches
14,Jordi Alba,es ESP,DF,Barcelona,32,1989,29.4,11,0,0,26,19,11,121,33,35,,,0,Matches
15,Raúl Albiol,es ESP,DF,Villarreal,35,1985,27.4,8,0,0,18,12,2,3,20,17,,,0,Matches
16,Paco Alcácer,es ESP,FW,Villarreal,27,1993,8.7,1,0,0,5,7,8,2,6,3,,,0,Matches
17,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,12.3,7,0,0,31,35,1,23,12,20,,,0,Matches
18,Omar Alderete,py PAR,DF,Valencia,24,1996,26.7,15,0,0,42,7,0,4,34,34,,,0,Matches
19,Iván Alejo,es ESP,MF,Cádiz,26,1995,11.8,7,0,0,36,33,5,97,7,15,,,0,Matches
20,Carles Aleñá,es ESP,MF,Getafe,23,1998,25.8,6,1,0,50,37,1,44,14,19,,,0,Matches
21,Hugo Álvarez,es ESP,"DF,MF",Celta Vigo,18,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
22,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,20.7,6,0,0,23,13,1,3,44,15,,,0,Matches
23,Dani Alves,br BRA,DF,Barcelona,38,1983,12.2,2,1,0,27,6,0,75,11,19,,,0,Matches
24,Amath,sn SEN,"MF,FW",Mallorca,25,1996,9.8,5,0,0,19,18,6,7,8,10,,,0,Matches
25,Florin Andone,ro ROU,FW,Cádiz,28,1993,2.0,1,0,0,3,2,3,0,0,1,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Marcos André,br BRA,"FW,MF",Valencia,24,1996,10.8,3,0,0,23,22,4,3,7,12,,,0,Matches
27,José Ángel,es ESP,DF,Osasuna,31,1989,12.0,2,1,0,10,5,0,46,9,12,,,0,Matches
28,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,0.6,0,0,0,0,0,0,0,1,0,,,0,Matches
29,Mauro Arambarri,uy URU,MF,Getafe,25,1995,29.6,13,0,0,51,48,0,112,29,39,,,0,Matches
30,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,29.1,4,0,0,19,10,0,3,28,13,,,1,Matches
31,Ronald Araújo,uy URU,DF,Barcelona,22,1999,25.2,6,0,0,25,12,1,7,23,23,,,0,Matches
32,Jesús Areso,es ESP,DF,Osasuna,22,1999,2.1,1,0,0,3,4,0,2,0,3,,,0,Matches
33,Matias Arezo,uy URU,FW,Granada,18,2002,1.8,1,0,0,3,1,0,4,1,3,,,0,Matches
34,Santiago Arias,co COL,DF,Granada,29,1992,4.9,1,0,0,6,5,2,17,6,6,,,0,Matches
35,Santiago Arzamendia,py PAR,MF,Cádiz,23,1998,5.2,2,0,0,6,4,1,18,4,7,,,0,Matches
36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6.0,1,0,0,0,0,0,0,2,0,,,0,Matches
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
38,Marco Asensio,es ESP,"FW,MF",Real Madrid,25,1996,19.2,2,0,0,8,20,2,71,13,8,,,0,Matches
