Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 18_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Haitam Abaida,ma MAR,FW,Málaga,19,2002,1.0,0,2,0,0.0,2.00,0.00,0.00,,0,0,Matches
2,Amir Abedzadeh,ir IRN,GK,Ponferradina,28,1993,35.0,0,0,0,,0.00,0.00,,,0,0,Matches
3,Paris Adot,es ESP,DF,Ponferradina,31,1990,30.1,1,10,3,30.0,0.33,0.10,0.10,0.33,0,0,Matches
4,Mikel Agu,ng NGA,MF,CF Fuenlabrada,28,1993,12.1,0,3,0,0.0,0.25,0.00,0.00,,0,0,Matches
5,Álvaro Aguado,es ESP,MF,Valladolid,25,1996,31.9,4,44,9,20.5,1.38,0.28,0.09,0.44,0,0,Matches
6,Juan Aguilera,es ESP,MF,Alcorcón,35,1985,9.9,0,7,2,28.6,0.71,0.20,0.00,0.00,0,0,Matches
7,Jorge Aguirre,cu CUB,FW,Mirandés,21,2000,0.7,0,0,0,,0.00,0.00,,,0,0,Matches
8,Jorge Aguirre,cu CUB,FW,Real Sociedad B,21,2000,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
9,Lucas Ahijado,es ESP,DF,Oviedo,26,1995,24.8,1,12,3,25.0,0.48,0.12,0.08,0.33,0,0,Matches
10,Matheus Aiás,br BRA,FW,Oviedo,24,1996,5.2,2,13,6,46.2,2.49,1.15,0.15,0.33,0,0,Matches
11,Ager Aketxe,es ESP,MF,Eibar,27,1993,5.3,0,18,6,33.3,3.38,1.13,0.00,0.00,0,0,Matches
12,Sergio Akieme,es ESP,DF,Almería,23,1997,25.6,1,26,8,30.8,1.02,0.31,0.04,0.13,0,0,Matches
13,Alarcón,es ESP,DF,Burgos,27,1994,2.9,0,6,1,16.7,2.08,0.35,0.00,0.00,0,0,Matches
14,Alberto,es ESP,DF,Lugo,28,1992,12.9,1,10,5,50.0,0.78,0.39,0.10,0.20,0,0,Matches
15,Pedro Alcalá,es ESP,DF,Cartagena,32,1989,22.7,0,12,3,25.0,0.53,0.13,0.00,0.00,0,0,Matches
16,Rubén Alcaraz,es ESP,"MF,DF",Valladolid,30,1991,5.8,1,15,3,20.0,2.58,0.52,0.07,0.33,0,0,Matches
17,Aitor Aldalur,es ESP,"DF,MF",Amorebieta,29,1991,7.4,0,3,1,33.3,0.41,0.14,0.00,0.00,0,0,Matches
18,Aldasoro,es ESP,"MF,FW",Real Sociedad B,22,1999,16.7,0,15,4,26.7,0.90,0.24,0.00,0.00,0,0,Matches
19,Álex Alegría,es ESP,FW,Burgos,28,1992,10.8,0,18,5,27.8,1.67,0.46,0.00,0.00,0,0,Matches
20,Diego Alende,es ESP,DF,Lugo,23,1997,32.1,0,7,2,28.6,0.22,0.06,0.00,0.00,0,0,Matches
21,Altube,es ESP,GK,CF Fuenlabrada,21,2000,24.0,0,0,0,,0.00,0.00,,,0,0,Matches
22,Cristian Álvarez,ar ARG,GK,Zaragoza,35,1985,38.0,0,0,0,,0.00,0.00,,,0,0,Matches
23,Sergio Álvarez,es ESP,"MF,DF",Eibar,29,1992,29.4,1,8,4,50.0,0.27,0.14,0.13,0.25,0,0,Matches
24,Mikel Álvaro,es ESP,MF,Amorebieta,38,1982,3.8,0,5,0,0.0,1.31,0.00,0.00,,0,0,Matches
25,Rubén Alves,es ESP,"DF,MF",Ibiza,26,1994,20.6,1,8,4,50.0,0.39,0.19,0.13,0.25,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Jair Amador,gq EQG,DF,Zaragoza,31,1989,38.9,1,26,8,30.8,0.67,0.21,0.04,0.13,0,0,Matches
27,David Amigo,es ESP,"MF,FW",CF Fuenlabrada,18,2002,7.8,0,16,4,25.0,2.05,0.51,0.00,0.00,0,0,Matches
28,Jose Amo,es ESP,"DF,MF",Ponferradina,23,1998,24.4,0,3,0,0.0,0.12,0.00,0.00,,0,0,Matches
29,Iker Amorrortu,es ESP,FW,Amorebieta,26,1994,1.4,1,6,3,50.0,4.25,2.13,0.17,0.33,0,0,Matches
30,Jon Ander Garrido,es ESP,MF,Mirandés,31,1989,4.3,1,3,1,33.3,0.70,0.23,0.33,1.00,0,0,Matches
31,Marcos André,br BRA,FW,Valladolid,24,1996,1.0,1,6,3,50.0,6.00,3.00,0.17,0.33,0,0,Matches
32,David Andújar,es ESP,DF,Cartagena,29,1991,14.3,0,3,0,0.0,0.21,0.00,0.00,,0,0,Matches
33,Andy,es ESP,MF,Burgos,31,1990,33.2,1,25,6,24.0,0.75,0.18,0.04,0.17,0,0,Matches
34,José Ángel Carrillo,es ESP,FW,Lugo,27,1994,21.0,9,46,22,47.8,2.19,1.05,0.15,0.32,2,3,Matches
35,Miguel Ángel Guerrero,es ESP,"MF,FW",Ibiza,31,1990,22.9,2,35,10,28.6,1.53,0.44,0.03,0.10,1,2,Matches
36,José Ángel,es ESP,MF,Alcorcón,29,1992,16.3,1,16,2,12.5,0.98,0.12,0.06,0.50,0,0,Matches
37,Miguel Ángel Rubio,es ESP,DF,Burgos,23,1998,24.1,3,22,8,36.4,0.91,0.33,0.14,0.38,0,0,Matches
38,Paul Anton,ro ROU,MF,Ponferradina,30,1991,12.8,0,13,0,0.0,1.02,0.00,0.00,,0,0,Matches
39,Leandro Antonetti,pr PUR,FW,Lugo,18,2003,0.2,0,1,0,0.0,5.29,0.00,0.00,,0,0,Matches
40,José Antonio Ríos,es ESP,DF,Ponferradina,31,1990,26.5,3,25,4,16.0,0.94,0.15,0.12,0.75,0,0,Matches
41,Juan Antonio Ros,es ESP,DF,Lugo,25,1996,30.2,1,8,1,12.5,0.26,0.03,0.13,1.00,0,0,Matches
42,Antoñito,es ESP,"DF,MF",Cartagena,33,1987,0.6,0,0,0,,0.00,0.00,,,0,0,Matches
43,Anuar,ma MAR,"MF,FW",Valladolid,26,1995,10.9,3,11,6,54.5,1.01,0.55,0.27,0.50,0,0,Matches
44,Emmanuel Apeh,ng NGA,FW,Alcorcón,24,1996,10.7,2,27,10,37.0,2.51,0.93,0.07,0.20,0,0,Matches
45,Emmanuel Apeh,ng NGA,FW,Tenerife,24,1996,1.8,1,5,2,40.0,2.74,1.10,0.20,0.50,0,0,Matches
46,Arvin Appiah,eng ENG,"MF,FW",Almería,20,2001,11.8,1,14,6,42.9,1.18,0.51,0.07,0.17,0,0,Matches
47,Kévin Appin,mq MTQ,MF,Ibiza,23,1998,12.3,1,18,2,11.1,1.47,0.16,0.06,0.50,0,0,Matches
48,Aritz Arambarri,es ESP,DF,Real Sociedad B,23,1998,21.4,0,3,0,0.0,0.14,0.00,0.00,,0,0,Matches
49,Anaitz Arbilla,es ESP,DF,Eibar,34,1987,19.2,0,8,0,0.0,0.42,0.00,0.00,,0,0,Matches
50,Roberto Olabe del Arco,es ESP,MF,Eibar,25,1996,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Roberto Olabe del Arco,es ESP,MF,Alcorcón,25,1996,12.2,0,7,1,14.3,0.57,0.08,0.00,0.00,0,0,Matches
52,David Argüelles,es ESP,DF,Sporting Gijón,19,2002,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
53,José Arnaiz,es ESP,"MF,FW",Leganés,26,1995,30.6,7,73,22,30.1,2.39,0.72,0.08,0.27,1,1,Matches
54,Aitor Arregi,es ESP,DF,Amorebieta,31,1990,12.7,0,8,1,12.5,0.63,0.08,0.00,0.00,0,0,Matches
55,Alejandro Arribas,es ESP,DF,Oviedo,32,1989,2.1,0,2,0,0.0,0.95,0.00,0.00,,0,0,Matches
56,Óscar Arribas,ph PHI,"MF,FW",Alcorcón,22,1998,24.5,1,40,14,35.0,1.64,0.57,0.03,0.07,0,0,Matches
57,Anderson Arroyo,co COL,DF,Mirandés,21,1999,36.2,0,3,0,0.0,0.08,0.00,0.00,,0,0,Matches
58,Ricard Artero,es ESP,MF,Girona,18,2003,1.5,0,1,0,0.0,0.65,0.00,0.00,,0,0,Matches
59,Raúl Asencio,es ESP,FW,Alcorcón,23,1998,5.7,2,12,5,41.7,2.12,0.88,0.17,0.40,0,0,Matches
60,Miguel Atienza,es ESP,"MF,DF",Eibar,22,1999,9.8,0,5,0,0.0,0.51,0.00,0.00,,0,0,Matches
61,Jose Aurelio Suarez,es ESP,GK,Alcorcón,25,1995,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
62,Javier Avilés,es ESP,FW,Leganés,23,1997,0.2,0,1,0,0.0,6.43,0.00,0.00,,0,0,Matches
63,Gaizka Ayesa,es ESP,GK,Real Sociedad B,20,2001,20.6,0,0,0,,0.00,0.00,,,0,0,Matches
64,Ivan Azón,es ESP,FW,Zaragoza,18,2002,15.8,7,44,20,45.5,2.79,1.27,0.16,0.35,0,0,Matches
65,Srđan Babić,rs SRB,DF,Almería,25,1996,35.3,1,16,3,18.8,0.45,0.09,0.06,0.33,0,0,Matches
66,Jean-Sylvain Babin,mq MTQ,DF,Sporting Gijón,34,1986,30.3,1,12,4,33.3,0.40,0.13,0.08,0.25,0,0,Matches
67,Iker Bachiller,es ESP,DF,Alcorcón,18,2002,0.2,0,1,0,0.0,5.29,0.00,0.00,,0,0,Matches
68,Abdel Al Badaoui,be BEL,"MF,FW",Alcorcón,25,1996,9.1,0,10,1,10.0,1.10,0.11,0.00,0.00,0,0,Matches
69,Álex Baena,es ESP,"MF,FW",Girona,20,2001,31.2,5,76,31,40.8,2.44,0.99,0.07,0.16,0,0,Matches
70,Miguel Baeza,es ESP,"MF,FW",Ponferradina,21,2000,4.7,0,4,3,75.0,0.85,0.64,0.00,0.00,0,0,Matches
71,Yoel Bárcenas,pa PAN,"MF,FW",Leganés,27,1993,14.1,2,30,7,23.3,2.12,0.50,0.07,0.29,0,0,Matches
72,Manu Barreiro,es ESP,FW,Lugo,35,1986,16.0,7,38,14,36.8,2.37,0.87,0.13,0.36,2,2,Matches
73,Dani Barrio,es ESP,GK,Málaga,34,1987,14.0,0,0,0,,0.00,0.00,,,0,0,Matches
74,Borja Bastón,es ESP,FW,Oviedo,28,1992,35.9,22,83,39,47.0,2.31,1.09,0.17,0.36,8,11,Matches
75,Jon Bautista,es ESP,FW,Leganés,26,1995,12.9,1,24,11,45.8,1.86,0.85,0.04,0.09,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
76,Juan Becerra,co COL,FW,Ponferradina,23,1998,0.5,0,1,0,0.0,2.09,0.00,0.00,,0,0,Matches
77,Carlos Bellvís,es ESP,"DF,MF",Alcorcón,36,1985,15.5,0,14,3,21.4,0.90,0.19,0.00,0.00,0,0,Matches
78,Saúl Berjón,es ESP,MF,Burgos,35,1986,17.5,0,19,3,15.8,1.09,0.17,0.00,0.00,0,0,Matches
79,Álex Bermejo,es ESP,MF,Tenerife,22,1998,20.0,2,37,10,27.0,1.85,0.50,0.05,0.20,0,0,Matches
80,Sergio Bermejo,es ESP,"MF,FW",Zaragoza,23,1997,23.7,3,39,12,30.8,1.64,0.51,0.08,0.25,0,0,Matches
81,Juan Berrocal,es ESP,DF,Sporting Gijón,22,1999,22.0,0,4,0,0.0,0.18,0.00,0.00,,0,0,Matches
