Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Haitam Abaida,ma MAR,FW,Málaga,19,2002,4,0,90,1.0,0,1,1,0,0,0,0,1,0.00,1.00,1.00,0.00,1.00,Matches
2,Amir Abedzadeh,ir IRN,GK,Ponferradina,28,1993,35,35,3150,35.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Paris Adot,es ESP,DF,Ponferradina,31,1990,34,30,2711,30.1,1,5,6,1,0,0,4,0,0.03,0.17,0.20,0.03,0.20,Matches
4,Mikel Agu,ng NGA,MF,CF Fuenlabrada,28,1993,15,12,1092,12.1,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches
5,Álvaro Aguado,es ESP,MF,Valladolid,25,1996,41,34,2869,31.9,4,3,7,4,0,0,7,0,0.13,0.09,0.22,0.13,0.22,Matches
6,Juan Aguilera,es ESP,MF,Alcorcón,35,1985,15,11,889,9.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Jorge Aguirre,cu CUB,FW,Mirandés,21,2000,8,0,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Jorge Aguirre,cu CUB,FW,Real Sociedad B,21,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Lucas Ahijado,es ESP,DF,Oviedo,26,1995,30,24,2233,24.8,1,1,2,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,Matches
10,Matheus Aiás,br BRA,FW,Oviedo,24,1996,26,2,470,5.2,2,1,3,2,0,0,2,0,0.38,0.19,0.57,0.38,0.57,Matches
11,Ager Aketxe,es ESP,MF,Eibar,27,1993,22,2,480,5.3,0,3,3,0,0,0,1,0,0.00,0.56,0.56,0.00,0.56,Matches
12,Sergio Akieme,es ESP,DF,Almería,23,1997,30,25,2305,25.6,1,1,2,1,0,0,4,1,0.04,0.04,0.08,0.04,0.08,Matches
13,Alarcón,es ESP,DF,Burgos,27,1994,17,1,260,2.9,0,1,1,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,Matches
14,Alberto,es ESP,DF,Lugo,28,1992,15,12,1160,12.9,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
15,Pedro Alcalá,es ESP,DF,Cartagena,32,1989,27,22,2040,22.7,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,Matches
16,Rubén Alcaraz,es ESP,"MF,DF",Valladolid,30,1991,14,5,524,5.8,1,3,4,1,0,0,1,0,0.17,0.52,0.69,0.17,0.69,Matches
17,Aitor Aldalur,es ESP,"DF,MF",Amorebieta,29,1991,15,7,662,7.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Aldasoro,es ESP,"MF,FW",Real Sociedad B,22,1999,28,15,1507,16.7,0,2,2,0,0,0,6,0,0.00,0.12,0.12,0.00,0.12,Matches
19,Álex Alegría,es ESP,FW,Burgos,28,1992,25,11,968,10.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Diego Alende,es ESP,DF,Lugo,23,1997,36,36,2890,32.1,0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Altube,es ESP,GK,CF Fuenlabrada,21,2000,24,24,2160,24.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Cristian Álvarez,ar ARG,GK,Zaragoza,35,1985,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Sergio Álvarez,es ESP,"MF,DF",Eibar,29,1992,32,28,2644,29.4,1,1,2,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,Matches
24,Mikel Álvaro,es ESP,MF,Amorebieta,38,1982,13,3,344,3.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Rubén Alves,es ESP,"DF,MF",Ibiza,26,1994,27,19,1851,20.6,1,1,2,1,0,0,5,0,0.05,0.05,0.10,0.05,0.10,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Jair Amador,gq EQG,DF,Zaragoza,31,1989,39,39,3503,38.9,1,3,4,1,0,0,6,0,0.03,0.08,0.10,0.03,0.10,Matches
27,David Amigo,es ESP,"MF,FW",CF Fuenlabrada,18,2002,15,6,702,7.8,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches
28,Jose Amo,es ESP,"DF,MF",Ponferradina,23,1998,32,24,2199,24.4,0,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Iker Amorrortu,es ESP,FW,Amorebieta,26,1994,8,0,127,1.4,1,0,1,1,0,0,0,0,0.71,0.00,0.71,0.71,0.71,Matches
30,Jon Ander Garrido,es ESP,MF,Mirandés,31,1989,13,2,388,4.3,1,1,2,1,0,0,4,0,0.23,0.23,0.46,0.23,0.46,Matches
31,Marcos André,br BRA,FW,Valladolid,24,1996,1,1,90,1.0,1,0,1,1,0,0,1,0,1.00,0.00,1.00,1.00,1.00,Matches
32,David Andújar,es ESP,DF,Cartagena,29,1991,16,15,1289,14.3,0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches
33,Andy,es ESP,MF,Burgos,31,1990,40,34,2984,33.2,1,5,6,1,0,0,3,0,0.03,0.15,0.18,0.03,0.18,Matches
34,José Ángel Carrillo,es ESP,FW,Lugo,27,1994,33,22,1889,21.0,9,1,10,7,2,3,5,0,0.43,0.05,0.48,0.33,0.38,Matches
35,Miguel Ángel Guerrero,es ESP,"MF,FW",Ibiza,31,1990,34,25,2065,22.9,2,3,5,1,1,2,4,1,0.09,0.13,0.22,0.04,0.17,Matches
36,José Ángel,es ESP,MF,Alcorcón,29,1992,17,17,1463,16.3,1,1,2,1,0,0,11,0,0.06,0.06,0.12,0.06,0.12,Matches
37,Miguel Ángel Rubio,es ESP,DF,Burgos,23,1998,28,25,2172,24.1,3,0,3,3,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches
38,Paul Anton,ro ROU,MF,Ponferradina,30,1991,28,12,1150,12.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Leandro Antonetti,pr PUR,FW,Lugo,18,2003,2,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
40,José Antonio Ríos,es ESP,DF,Ponferradina,31,1990,30,27,2389,26.5,3,7,10,3,0,0,4,0,0.11,0.26,0.38,0.11,0.38,Matches
41,Juan Antonio Ros,es ESP,DF,Lugo,25,1996,31,31,2721,30.2,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matches
42,Antoñito,es ESP,"DF,MF",Cartagena,33,1987,4,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Anuar,ma MAR,"MF,FW",Valladolid,26,1995,34,5,980,10.9,3,2,5,3,0,0,4,0,0.28,0.18,0.46,0.28,0.46,Matches
44,Emmanuel Apeh,ng NGA,FW,Alcorcón,24,1996,17,12,967,10.7,2,2,4,2,0,0,2,0,0.19,0.19,0.37,0.19,0.37,Matches
45,Emmanuel Apeh,ng NGA,FW,Tenerife,24,1996,8,1,164,1.8,1,1,2,1,0,0,0,0,0.55,0.55,1.10,0.55,1.10,Matches
