Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 20_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Haitam Abaida,ma MAR,MF,Málaga,20,2002,1.1,0,0,0,0,7,0,8,0,2,,,0,Matches
2,Sabit Abdulai,gh GHA,"MF,DF",Ponferradina,23,1999,8.2,5,0,0,22,12,0,5,15,8,,,0,Matches
3,Amir Abedzadeh,ir IRN,GK,Ponferradina,29,1993,30.0,5,0,0,2,3,0,0,1,0,,,0,Matches
4,Abdel Abqar,ma MAR,DF,Alavés,23,1999,31.7,10,1,0,37,17,12,4,41,27,,,0,Matches
5,Alonso Aceves,mx MEX,DF,Oviedo,21,2001,8.7,1,1,0,10,4,1,32,8,15,,,0,Matches
6,Paris Adot,es ESP,DF,Ponferradina,32,1990,32.4,10,0,0,27,32,0,83,28,35,,,1,Matches
7,Lumor Agbenyenu,gh GHA,"MF,DF",Málaga,25,1996,1.1,0,0,0,0,0,0,1,0,2,,,0,Matches
8,Marc Aguado,es ESP,MF,FC Andorra,22,2000,31.0,4,0,0,26,41,2,3,48,43,,,0,Matches
9,Lalo Aguilar,es ESP,DF,Leganés,20,2002,0.2,0,0,0,2,0,0,0,0,0,,,0,Matches
10,Lucas Ahijado,es ESP,DF,Oviedo,27,1995,38.5,6,0,0,39,20,1,99,32,62,,,0,Matches
11,Matheus Aiás,br BRA,"FW,MF",Racing Sant,25,1996,17.9,4,0,0,24,37,8,5,6,7,,,0,Matches
12,Ager Aketxe,es ESP,MF,Eibar,28,1993,8.7,4,0,0,7,10,1,76,5,6,,,0,Matches
13,Tomás Alarcón,cl CHI,MF,Zaragoza,23,1999,5.7,2,1,0,12,5,0,6,3,5,,,0,Matches
14,Williams Alarcón,cl CHI,MF,Ibiza,21,2000,5.8,0,0,0,1,1,0,8,4,1,,,0,Matches
15,Alberto,es ESP,DF,Lugo,29,1992,35.0,6,3,1,22,15,1,3,28,16,,,0,Matches
16,Pedro Alcalá,es ESP,DF,Cartagena,33,1989,25.9,5,2,0,29,19,2,4,23,12,,,0,Matches
17,Edgar Alcañiz,es ESP,MF,Levante,17,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
18,Aldair,pt POR,"MF,DF",Ponferradina,22,1999,3.9,1,0,0,7,5,0,5,1,6,,,0,Matches
19,Aldasoro,es ESP,MF,Racing Sant,23,1999,22.7,12,2,1,42,31,0,8,34,54,,,0,Matches
20,Iker Alday,es ESP,DF,Eibar,19,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
21,Diego Alende,es ESP,DF,FC Andorra,24,1997,20.2,2,0,0,15,17,2,3,10,8,,,0,Matches
22,Alfon,es ESP,FW,Racing Sant,23,1999,2.5,0,0,0,4,8,5,4,0,2,,,0,Matches
23,Christos Almpanis,gr GRE,FW,FC Andorra,27,1994,18.2,1,0,0,12,21,0,34,5,14,,,0,Matches
24,Javier Alonso,es ESP,MF,Tenerife,23,1998,8.9,2,0,0,12,5,0,1,12,12,,,0,Matches
25,Julio Alonso,es ESP,DF,Albacete,23,1998,32.5,6,1,0,33,33,3,75,26,46,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Adrià Altimira,es ESP,"DF,FW",FC Andorra,21,2001,27.5,4,1,0,28,45,0,36,23,21,,,0,Matches
27,Altube,es ESP,GK,Albacete,22,2000,12.0,0,0,0,0,1,0,0,0,0,,,0,Matches
28,Cristian Álvarez,ar ARG,GK,Zaragoza,36,1985,35.0,3,1,1,1,2,0,0,2,0,,,0,Matches
29,Fran Álvarez,es ESP,MF,Albacete,24,1998,7.0,2,0,0,9,9,0,20,2,6,,,0,Matches
30,Iker Álvarez,ad AND,GK,Villarreal B,21,2001,23.0,1,0,0,1,2,0,0,1,1,,,0,Matches
31,Sergio Álvarez,es ESP,"MF,DF",Eibar,30,1992,32.2,8,1,0,48,19,0,8,29,64,,,0,Matches
32,Rubén Alves,es ESP,DF,Racing Sant,27,1994,33.4,5,0,0,16,44,3,2,37,24,,,0,Matches
33,Jair Amador,gq EQG,DF,Zaragoza,32,1989,34.6,6,0,0,21,10,4,0,39,20,,,0,Matches
34,Jose Amo,es ESP,DF,Ponferradina,24,1998,28.8,14,1,1,43,27,0,0,35,19,,,0,Matches
35,Guillermo de Amores,uy URU,GK,Sporting Gijón,27,1994,0.5,0,0,0,0,0,0,0,0,0,,,0,Matches
36,Florin Andone,ro ROU,FW,Las Palmas,29,1993,5.8,5,0,0,17,9,6,3,1,1,,,0,Matches
37,Andy,es ESP,MF,Burgos,32,1990,1.5,0,0,0,1,1,0,9,0,1,,,0,Matches
38,José Ángel Carrillo,es ESP,FW,Huesca,28,1994,10.3,1,0,0,16,21,6,1,1,0,,,0,Matches
39,José Ángel,es ESP,"DF,MF",Sporting Gijón,32,1989,28.6,6,0,0,24,26,2,172,30,36,,,0,Matches
40,José Ángel,es ESP,MF,Tenerife,30,1992,17.9,9,0,0,37,34,0,76,21,24,,,0,Matches
