Fecha,hora,L,V,GL,GV,TL,TV,CL,CV,AL,AV,RL,RV
11/08/2023,18:30,Almeria,Rayo,0,2,5,4,8,3,1,3,0,0
11/08/2023,21:00,Sevilla,Valencia,1,2,3,3,8,1,3,2,1,0
12/08/2023,16:00,Real Sociedad,Girona,1,1,2,1,4,1,2,5,0,0
12/08/2023,20:30,Ath Bilbao,Real Madrid,0,2,1,8,7,5,3,1,0,0
13/08/2023,16:00,Celta,Osasuna,0,2,1,5,7,2,1,1,0,0
13/08/2023,18:30,Villarreal,Betis,1,2,5,5,9,4,1,3,0,0
13/08/2023,20:30,Getafe,Barcelona,0,0,2,4,3,4,8,2,1,1
14/08/2023,18:30,Cadiz,Alaves,1,0,3,2,2,4,3,2,1,0
14/08/2023,20:30,Ath Madrid,Granada,3,1,6,4,3,3,3,1,0,0
18/08/2023,18:30,Mallorca,Villarreal,0,1,1,3,6,5,2,4,0,0
18/08/2023,20:30,Valencia,Las Palmas,1,0,4,1,6,4,0,0,0,0
19/08/2023,16:00,Real Sociedad,Celta,1,1,2,6,9,7,2,1,0,0
19/08/2023,18:30,Almeria,Real Madrid,1,3,8,9,4,5,1,0,0,0
19/08/2023,20:30,Osasuna,Ath Bilbao,0,2,7,2,5,3,1,5,1,1
20/08/2023,18:00,Girona,Getafe,3,0,6,2,3,2,2,5,0,0
20/08/2023,18:30,Barcelona,Cadiz,2,0,10,1,10,2,4,3,0,0
20/08/2023,20:30,Betis,Ath Madrid,0,0,0,1,2,7,2,1,0,0
21/08/2023,18:00,Alaves,Sevilla,4,3,7,2,4,4,1,2,0,0
21/08/2023,20:30,Granada,Rayo,0,2,7,9,5,6,2,1,1,0
25/08/2023,18:30,Las Palmas,Real Sociedad,0,0,5,1,5,7,1,4,0,0
25/08/2023,20:30,Celta,Real Madrid,0,1,4,3,3,5,2,3,0,0
26/08/2023,20:30,Sevilla,Girona,1,2,4,3,6,6,2,1,0,0
27/08/2023,16:30,Villarreal,Barcelona,3,4,6,11,2,6,3,3,0,0
27/08/2023,18:30,Valencia,Osasuna,1,2,4,2,6,3,3,4,0,0
27/08/2023,20:30,Ath Bilbao,Betis,4,2,6,3,5,3,4,2,0,0
28/08/2023,18:30,Getafe,Alaves,1,0,4,2,4,5,1,2,0,0
