Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Amir Abedzadeh,ir IRN,GK,Castellón,32,1993,4,4,360,4.0,7,1.75,16,9,56.3,0,1,3,0,0.0,2,2,0,0,0.0,Matches
2,Álvaro Aceves,es ESP,GK,Valladolid,22,2003,11,11,990,11.0,11,1.00,33,22,66.7,4,1,6,4,36.4,1,1,0,0,0.0,Matches
3,Iker Álvarez,ad AND,GK,Córdoba,24,2001,35,34,3105,34.5,46,1.33,144,98,68.1,15,9,10,7,20.6,4,3,1,0,25.0,Matches
4,Esteban Andrada,ar ARG,GK,Zaragoza,34,1991,27,27,2429,27.0,35,1.30,119,84,70.6,8,8,11,7,25.9,6,3,3,0,50.0,Matches
5,Plamen Andreev,bg BUL,GK,Racing Sant,20,2004,2,2,180,2.0,2,1.00,7,5,71.4,0,2,0,0,0.0,0,0,0,0,,Matches
6,Egoitz Arana,es ESP,GK,Real Sociedad B,23,2002,11,11,990,11.0,16,1.45,47,31,66.0,2,3,6,2,18.2,1,1,0,0,0.0,Matches
7,Ander Astralaga,es ESP,GK,Granada,21,2004,16,15,1351,15.0,23,1.53,61,38,62.3,3,4,8,3,20.0,2,2,0,0,0.0,Matches
8,Édgar Badía,es ESP,GK,Cultural Leonesa,33,1992,41,41,3690,41.0,67,1.63,187,120,64.2,9,9,23,7,17.1,10,9,1,0,10.0,Matches
9,Miguel Bañuz,es ESP,GK,Cultural Leonesa,32,1993,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,Matches
10,Ander Cantero,es ESP,GK,Burgos,30,1995,42,42,3780,42.0,33,0.79,147,114,77.6,20,12,10,19,45.2,0,0,0,0,,Matches
11,Churripi,es ESP,GK,Las Palmas,31,1994,2,1,141,1.6,1,0.64,5,4,80.0,0,1,0,1,100.0,0,0,0,0,,Matches
12,Simon Eriksson,se SWE,GK,Racing Sant,19,2006,6,6,540,6.0,6,1.00,16,10,62.5,5,1,0,1,16.7,1,1,0,0,0.0,Matches
13,Jokin Ezkieta,es ESP,GK,Racing Sant,28,1996,33,33,2969,33.0,52,1.58,156,103,66.7,20,3,10,7,21.2,5,5,0,0,0.0,Matches
14,Guilherme Fernandes,pt POR,GK,Valladolid,24,2001,31,31,2790,31.0,46,1.48,130,84,64.6,8,9,14,7,22.6,10,8,2,0,20.0,Matches
