Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,Temporada
1,Tony Abad,es ESP,"DF,MF",Huesca,28,1996,21.1,0,8,0,0.0,0.38,0.00,0.00,,0,0,Matches,27,24,1898,1,1,0,3,0,0.00,0.05,0.05,0.00,0.05,0,32,8,6,56,20,18,,,0,,,,,,,,,,,,,,,25/26
2,Haitam Abaida,ma MAR,FW,Málaga,23,2002,1.2,1,2,1,50.0,1.61,0.80,0.50,1.00,0,0,Matches,9,0,112,0,1,1,0,0,0.80,0.00,0.80,0.80,0.80,0,0,4,1,5,1,0,,,0,,,,,,,,,,,,,,,25/26
3,Rodrigo Abajas,es ESP,"DF,MF",Huesca,22,2003,7.8,0,8,3,37.5,1.03,0.39,0.00,0.00,0,0,Matches,21,7,701,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0,26,5,1,30,5,13,,,0,,,,,,,,,,,,,,,25/26
4,Amir Abedzadeh,ir IRN,GK,Castellón,32,1993,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,4,4,360,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,,,0,7,1.75,16,9,56.3,0,1,3,0,0.0,2,0,0,0.0,25/26
5,Álvaro Aceves,es ESP,GK,Valladolid,22,2003,11.0,0,1,0,0.0,0.09,0.00,0.00,,0,0,Matches,11,11,990,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,11,1.00,33,22,66.7,4,1,6,4,36.4,1,0,0,0.0,25/26
6,Adilson,pt POR,MF,Córdoba,28,1997,2.9,2,7,4,57.1,2.45,1.40,0.29,0.50,0,0,Matches,10,1,257,0,2,2,0,0,0.70,0.00,0.70,0.70,0.70,0,3,7,3,5,0,1,,,0,,,,,,,,,,,,,,,25/26
7,Andrews Adjabeng,gh GHA,MF,Real Sociedad B,19,2006,0.7,0,1,0,0.0,1.53,0.00,0.00,,0,0,Matches,3,0,59,1,1,0,0,0,0.00,1.53,1.53,0.00,1.53,0,5,0,0,2,1,0,,,0,,,,,,,,,,,,,,,25/26
8,William Agada,ng NGA,FW,Zaragoza,25,1999,0.6,0,1,0,0.0,1.73,0.00,0.00,,0,0,Matches,3,0,52,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,2,1,0,0,0,0,,,0,,,,,,,,,,,,,,,25/26
9,Michael Agbepkonu,gh GHA,MF,Huesca,26,1998,3.3,0,5,3,60.0,1.52,0.91,0.00,0.00,0,0,Matches,10,2,296,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,7,4,0,0,3,4,,,0,,,,,,,,,,,,,,,25/26
10,Martin Agirregabiria,es ESP,DF,Zaragoza,29,1996,20.5,1,11,3,27.3,0.54,0.15,0.09,0.33,0,0,Matches,25,22,1848,1,2,1,6,0,0.05,0.05,0.10,0.05,0.10,0,29,27,0,56,25,19,,,0,,,,,,,,,,,,,,,25/26
